Unnamed: 0,一,二,三,四,五,六,日,一.1,二.1,三.1,四.1,五.1,六.1,日.1,一.2,二.2,三.2,四.2,五.2,六.2,日.2
,,,,,,,10/01,10/02,10/03,10/04,10/05,10/06,10/07,10/08,10/09,10/10,10/11,10/12,10/13,10/14,10/15
00:15,,,,,,,899,235,1061,1310,1398,1274,1370,1077,230,594,1064,1210,1219,1253,1034
00:30,,,,,,,894,235,1043,1288,1427,1269,1333,989,229,614,1067,1163,1235,1264,990
00:45,,,,,,,920,237,1032,1278,1413,1248,1333,1037,226,621,1030,1114,1168,1246,958
01:00,,,,,,,925,242,1102,1326,1376,1234,1347,1099,229,602,1059,1190,1242,1262,976
01:15,,,,,,,987,238,1085,1325,1411,1219,1362,1051,235,622,1074,1208,1187,1267,979
01:30,,,,,,,1003,237,1194,1339,1360,1211,1306,941,240,768,1008,1162,1176,1267,965
01:45,,,,,,,1002,242,915,1214,1382,1170,1360,1058,237,957,950,1130,1240,1272,979
02:00,,,,,,,995,242,1208,1136,1370,1106,1346,958,235,826,872,1579,1205,1262,949
02:15,,,,,,,918,242,1110,1125,1384,1114,1293,912,234,768,901,1422,1214,1272,962
02:30,,,,,,,877,245,1018,1118,1387,1053,1315,1019,227,741,910,1237,1021,1171,995
02:45,,,,,,,736,238,1010,1101,1354,1058,1042,832,230,739,859,1325,1104,1280,824
03:00,,,,,,,643,243,1213,1062,1363,1069,1149,992,232,747,894,1293,1214,1253,752
03:15,,,,,,,613,242,1043,1074,1339,1098,1234,966,234,723,872,1347,1258,1256,758
03:30,,,,,,,598,251,1021,1202,1360,1125,1206,960,230,752,890,1277,1190,1173,765
03:45,,,,,,,581,240,1026,1237,1357,1130,1222,885,232,790,800,1141,1096,1101,766
04:00,,,,,,,584,242,1165,1261,1354,1333,1246,974,235,773,686,1262,1285,1107,765
04:15,,,,,,,584,238,1182,1206,1341,1299,1237,1037,227,766,693,1310,1184,1110,741
04:30,,,,,,,579,234,1171,1139,1318,1352,1074,826,229,773,696,1317,1267,1099,706
04:45,,,,,,,576,237,1210,1246,1360,1290,998,786,237,733,678,1325,1195,1123,712
05:00,,,,,,,579,235,1118,1059,1331,1347,968,894,232,734,728,1341,1154,1261,878
05:15,,,,,,,576,237,1165,1082,1410,1365,1019,864,232,733,738,1325,1163,1259,874
05:30,,,,,,,568,238,1138,1085,1402,1368,1030,747,230,730,709,1330,1144,1211,909
05:45,,,,,,,571,245,1210,1302,1291,1406.128,1034,741,226,731,741,1328,1190,1251,851
06:00,,,,,,,575.792,254.128,1285.768,1234,1205,1374.224,1138,730,235,747,693.128,1317.512,1048.256,1270,856
06:15,,,,,,,582.928,379.12,1081.72,1270,1336.256,1396.848,1240.504,701.816,234.256,766,843.656,1304.88,1158.256,1289.352,865.456
06:30,,,,,,,639.992,418.424,1220.168,1248.128,1336.832,1355.72,1181.76,658.288,227.592,773.072,863.096,1294,1093.176,1202.816,675.32
06:45,,,,,,,611.072,343.44,1121.344,1233.152,1282.616,1298.824,1251.152,649.328,228.48,776.064,794.256,1326.392,1226.672,1114.104,603.08
07:00,,,,,,,587.056,351.312,1131.4,1166.328,1404.864,1356.528,1147.528,620.048,232.912,771.52,795.024,1384.304,1223.04,1247.104,576.272
07:15,,,,,,,560.264,392.256,1082.824,1302.712,1414.848,1353.36,1131.144,589.768,238.776,817.904,816.784,1390.024,1298.632,1290.544,551.568
07:30,,,,,,,603.384,423.928,1076.04,1411.264,1377.144,1356.616,1195.256,579.584,265.144,792.824,935.112,1355.536,1280.08,1318.384,542.832
07:45,,,,,,,591.864,520.52,1096.896,1327.8,1412.04,1429.448,1198.712,550.992,352.32,942.92,953.776,1468.656,1371.392,1343.488,470.48
08:00,,,,,,,499.832,741.744,1150.288,1433.208,1366.408,1530.88,1263.752,534.464,622.096,965.952,1020.736,1573.04,1648.848,1376.944,408.504
08:15,,,,,,,388.984,915.888,1304.208,1431.224,1303.76,1545.36,1291.888,480.568,703.888,1002.288,1154.032,1604.168,1545.032,1319.16,387.336
08:30,,,,,,,260.416,1053.712,1409.672,1540.6,1326.464,1434.112,1463.76,300.344,843.72,1092.944,1234.36,1712.888,1531.4,1304.832,394.416
08:45,,,,,,,252.544,1063.688,1526.288,1564.048,1427.328,1653.712,1439.632,238.544,855.24,1214.976,1248.64,1808.336,1561.52,1386.928,389.064
09:00,,,,,,,246.256,1207.752,1547.696,1515.656,1464.072,1632.784,1444.56,234.312,806.664,1227.056,1298.992,1793.232,1603.44,1455.992,388.496
09:15,,,,,,,254.4,1264.304,1521.088,1590.976,1566.208,1704.592,1439.68,247.696,795.448,1236.88,1296.96,1774.032,1731.72,1517.616,391.8
09:30,,,,,,,269.76,1266.12,1491.888,1644.464,1605.632,1749.944,1465.6,238.584,806.976,1221.328,1358.064,1865.264,1785.672,1541.968,387.656
09:45,,,,,,,249.984,1204.104,1576.384,1545.408,1612.416,1649.664,1499.28,231.664,835.336,1346.424,1408.528,1928.312,1893.96,1773.512,329.792
10:00,,,,,,,263.04,1216.624,1552.88,1512.456,1630.008,1513.808,1568.448,233.472,912.456,1249.456,1523.896,1738.448,1828.856,1738.632,236.672
10:15,,,,,,,263.936,1245.376,1555.632,1558.192,1602.376,1671.728,1446.768,237.104,887.88,1261.296,1626.736,1807.168,1915.12,1625.848,239.552
10:30,,,,,,,257.6,1234.576,1599.688,1620.528,1635.52,1712.016,1490.04,237.488,898.368,1248.064,1769.424,1852.992,1919.24,1669.576,244.032
10:45,,,,,,,255.296,1221.832,1658.368,1633.144,1539.776,1706.48,1451.568,235.632,895.224,1280.76,1664.648,1927.488,1838.28,1662.144,238.912
11:00,,,,,,,245.12,1222.32,1559.288,1670.832,1559.288,1652.048,1518.192,234.936,878.464,1238.128,1639.36,2005.128,1960.512,1651.312,244.864
11:15,,,,,,,257.472,1236.928,1633.016,1657.984,1610.64,1681.808,1411.088,239.616,908.28,1218.624,1687.824,1904.448,1768.112,1675.664,255.104
11:30,,,,,,,248.768,1248.504,1636.984,1608.832,1638.92,1661.744,1525,240.328,975.544,1285.952,1674.552,1909.632,1690.44,1696.584,237.632
11:45,,,,,,,242.232,1239.056,1390.656,1604.608,1580.04,1657.296,1501.84,236.672,943.104,1333.776,1609.52,1803.216,1461.304,1671.568,234.432
12:00,,,,,,,253.44,1202.424,1585.984,1662.08,1600.944,1607.8,1570.808,238.84,915.456,1324.864,1586.376,1901.96,1689.424,1673.328,238.016
12:15,,,,,,,256.128,1245.52,1532.68,1661.264,1603.056,1684.528,1574,234.16,921.224,1268.424,1579.312,1732.24,1674.056,1627.208,239.168
12:30,,,,,,,243.968,1307.792,1578,1632.08,1616.312,1650.24,1589.648,237.384,885.184,1349,1603.776,1860.216,1677.712,1680.064,237.888
12:45,,,,,,,244.544,1309.744,1553.72,1626.312,1520.44,1677.176,1591.024,232.816,836.288,1301.504,1551.28,1812.672,1633.08,1666.8,235.84
13:00,,,,,,,263.616,1320.2,1490.384,1638.128,1585.464,1659.576,1582.976,234.36,824.208,1304.696,1563.088,1866.36,1679.28,1664.816,238.72
13:15,,,,,,,256.272,1259.72,1578.736,1607.352,1599.544,1687.68,1516.48,239.736,789.04,1332.216,1667.632,1841.264,1742.664,1679.304,231.36
13:30,,,,,,,254.656,1324.48,1627.44,1811.056,691.824,1663.536,1531.704,245.768,796.592,1295.808,1741.424,1870.272,1713.352,1713.288,229.632
13:45,,,,,,,261.072,1369.648,1658.312,1630.768,1179.256,1627.896,1644.352,232.96,823.984,1275.632,1760.336,1952.632,1928.304,1754.76,223.36
14:00,,,,,,,269.12,1530.48,1630.192,1600.368,1399.28,1709.696,1540.8,234.112,845.84,1291.648,1735.872,2016.384,2238.288,1741.872,228.736
14:15,,,,,,,252.544,1648.248,1629.392,1740.736,1421.888,1698.04,1522.416,224.44,850.128,1324.432,1713.28,1978.864,2282.816,1721.48,229.824
14:30,,,,,,,245.576,1629.504,1697.864,1729.872,1768.4,1725.136,1545.792,222.912,897.848,1272.816,1627.52,2112.896,2068.024,1689.784,227.136
14:45,,,,,,,260.104,1528.592,1637.688,1644.176,1725.296,1706.384,1650.488,226.256,920.848,1249.424,1581.24,2017.52,2092.88,1701.936,230.272
15:00,,,,,,,256.784,1502.48,1606.32,1654.992,1639.672,1606.592,1571.984,224.512,883.376,1290.96,1664.584,1990.28,2041.712,1688.952,217.072
15:15,,,,,,,245.752,1470.672,1638.464,1685.04,1606.448,1475.952,1626,223.36,910.512,1256.776,1642.184,2002.496,2053.04,1678.896,241.856
15:30,,,,,,,246.48,1486.968,1668.544,1695.608,1637.512,1660.616,1581.704,222.52,869.232,1204.72,1691.2,2040.592,2034,1682.048,219.408
15:45,,,,,,,264,1486.96,1632.832,1829.936,1645.696,1661,1481.168,227.328,883.32,1178.288,1768,2033.104,1926.224,1676.744,226.816
16:00,,,,,,,251.064,1502.024,1601.936,1691.328,1642.064,1613.296,1547.184,225.608,845.304,1147.784,1540.88,2003,1994.768,1577.84,223.992
16:15,,,,,,,245.576,1498.312,1588.088,1733.496,1675.64,1650.176,1445.76,226.36,842.736,1252.088,1684.416,1950.976,1808.52,1585.784,220.92
16:30,,,,,,,251.728,1507.76,1618.768,1749.248,1638.096,1657.536,1580.608,232.688,873.528,1232.576,1746.384,2008.448,1950.16,1527.688,221.76
16:45,,,,,,,243.072,1484.552,1580.296,1834.56,1583.752,1562.504,1468.856,233.776,881.872,1158.832,1604.336,1851.4,1809.912,1496.504,221.136
17:00,,,,,,,242.376,1728.968,1612.296,1699.152,1573.072,1734.728,1476.992,229.2,867.776,1236.344,1507.912,1725.744,1919.024,1501.52,226.184
17:15,,,,,,,244.344,1686.136,1534.072,1726.384,1535.112,1664.256,1420.224,235.344,875.656,1154.48,1537.72,1628.4,1964.624,1460.488,226.624
17:30,,,,,,,243.536,1669.624,1646.64,1726,1454.704,1686.736,1445.896,235.92,936.384,1190.84,1634.576,1631.04,1871.168,1458.816,242.864
17:45,,,,,,,243,1655.096,1408.128,1800,1475.64,1616.256,1334,237,931,1053,1618.256,1726.384,1946.256,1435,234
18:00,,,,,,,259,1624,1323,1846,1510,1642,1411,235,861,1040,1653,1904,1875,1434,232
18:15,,,,,,,258,1522,1322,1731,1490,1661,1496,222,848,982,1574,1803,1720,1379,226
18:30,,,,,,,267,1483,1501,1653,1514,1666,1480,235,854,970,1614,1901,1918,1331,222
18:45,,,,,,,256,1477,1464,1698,1518,1555,1301,242,843,952,1562,1784,1803,1370,235
19:00,,,,,,,256,1472,1437,1701,1445,1504,1314,242,821,949,1496,1786,1898,1338,234
19:15,,,,,,,243,1352,1400,1662,1486,1610,1283,232,826,936,1381,1806,1794,1280,216
19:30,,,,,,,246,1357,1386,1680,1446,1571,1245,237,781,915,1306,1843,1717,1198,222
19:45,,,,,,,242,1275,1336,1589,1389,1520,1198,235,746,930,1283,1658,1523,960,222
20:00,,,,,,,242,1165,1270,1272,1258,1397,1278,242,672,907,1035,1506,1374,845,227
20:15,,,,,,,248,1109,1309,1118,1206,1366,1322,235,566,896,1083,1411,1307,1086,229
20:30,,,,,,,248,1107,1330,1218,1211,1333,1256,230,586,904,1085,1459,1358,1040,227
20:45,,,,,,,250,1141,1362,1363,1187,1381,1245,229,603,922,1090,1445,1405,1078,226
21:00,,,,,,,253,952,1363,1470,1211,1376,1314,238,597,930,950,1448,1411,1080,234
21:15,,,,,,,250,902,1365,1443,1250,1350,1227,229,605,896,1030,1395,1374,1022,222
21:30,,,,,,,248,906,1357,1389,1195,1379,1091,226,595,886,1093,1430,1410,965,224
21:45,,,,,,,240,1117,1322,1424,1189,1427,1112,237,589,886,1128,1467,1357,1021,221
22:00,,,,,,,242,1045,1250,1440,1168,1435,1090,229,581,880,1138,1446,1355,1014,224
22:15,,,,,,,240,1102,1301,1413,1168,1403,1082,230,576,906,1134,1443,1365,1022,222
22:30,,,,,,,242,1078,1141,1386,1190,1400,1021,232,627,1064,1141,1480,1352,1062,219
22:45,,,,,,,237,1061,1136,1410,1200,1387,926,232,629,1080,1168,1411,1282,1026,213
23:00,,,,,,,245,1098,1304,1379,1205,1363,1122,227,586,1091,1141,1272,1264,1027,222
23:15,,,,,,,238,1075,1290,1150,1214,1368,1094,240,587,1075,1142,1178,1250,1051,218
23:30,,,,,,,237,1064,1275,1168,1222,1381,1072,235,600,1066,1131,1030,1259,1000,214
23:45,,,,,,,235,1074,1280,1219,1259,1374,1043,227,600,1082,1158,1034,1267,1002,214
